Date/Time,Word Count,en,ja-JP
2020.04.22-22.31.57,74,74,0
2020.04.22-22.34.22,74,74,2
2020.04.22-22.34.43,74,74,73
2020.04.23-13.34.35,77,77,66
2020.04.23-13.35.59,77,77,70
2020.04.23-13.36.30,77,77,77
2020.04.23-14.18.52,75,75,74
2020.04.23-14.21.11,75,75,75
2020.04.27-22.47.08,110,110,75
2020.04.27-22.52.29,110,110,110
2020.04.28-23.49.19,172,172,110
2020.04.29-00.01.52,172,172,172
2020.04.30-18.01.39,177,177,172
2020.04.30-18.05.40,177,177,177
2020.04.30-18.38.04,179,179,177
2020.04.30-18.39.00,179,179,179
2020.04.30-22.06.11,183,183,179
2020.04.30-22.06.56,181,181,181
2020.05.01-15.44.35,197,197,181
2020.05.01-15.47.16,197,197,197
2020.05.02-00.22.31,200,200,197
2020.05.02-00.23.53,200,200,200
2020.05.02-21.10.26,236,236,200
2020.05.02-21.15.00,236,236,236
2020.05.14-22.07.44,508,508,236
2020.05.14-22.49.44,508,508,508
